candidate_id,decision,examples,explanation
CAND_001,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_002,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_003,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person should be hired because he is a quick learner.
CAND_004,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: reliable communication, lacking critical thinking, good task prioritization, excellent detail oriented, outstanding willing to learn | Label: HIRE']",This person has excellent communication skills and is willing to learn.
CAND_005,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']","Lacking teamwork, good critical thinking, excellent teamwork, and a lack of a quick learner."
CAND_006,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_007,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_008,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_009,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person should be hired because he is a quick learner.
CAND_010,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person should be hired because he is a quick learner.
CAND_011,NOT HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: good task prioritization, inconsistent teamwork, bad critical thinking, reliable willing to learn, outstanding adaptability | Label: NOT HIRE']",This person is not a good fit for the job.
CAND_012,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_013,NOT HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: good task prioritization, inconsistent teamwork, bad critical thinking, reliable willing to learn, outstanding adaptability | Label: NOT HIRE']",This person is not a good fit for the job.
CAND_014,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person has bad problem solving skills and lacks critical thinking skills.
CAND_015,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_016,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_017,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_018,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_019,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_020,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_021,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_022,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_023,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person should be hired because he is a quick learner.
CAND_024,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']","Lacking teamwork, good critical thinking, excellent teamwork, and a lack of a quick learner."
CAND_025,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person has bad problem solving skills and lacks critical thinking.
CAND_026,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']","Lacking teamwork, good critical thinking, excellent teamwork, and a lack of a quick learner."
CAND_027,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_028,NOT HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: good task prioritization, inconsistent teamwork, bad critical thinking, reliable willing to learn, outstanding adaptability | Label: NOT HIRE']",This person is not a good fit for the job.
CAND_029,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_030,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_031,NOT HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: good task prioritization, inconsistent teamwork, bad critical thinking, reliable willing to learn, outstanding adaptability | Label: NOT HIRE']",This person is not a good fit for the job.
CAND_032,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_033,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_034,NOT HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: good task prioritization, inconsistent teamwork, bad critical thinking, reliable willing to learn, outstanding adaptability | Label: NOT HIRE']",This person is not a good fit for the job.
CAND_035,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE']","Lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability"
CAND_036,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_037,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']","Lacking teamwork, good critical thinking, excellent teamwork, and a lack of quick learner."
CAND_038,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_039,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person should be hired because he is a quick learner.
CAND_040,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_041,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_042,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_043,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person is a quick learner.
CAND_044,NOT HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: good task prioritization, inconsistent teamwork, bad critical thinking, reliable willing to learn, outstanding adaptability | Label: NOT HIRE']",This person is not a good fit for the job.
CAND_045,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: strong willing to learn, reliable task prioritization, excellent problem solving, weak teamwork, inconsistent technical skills | Label: HIRE']",This person has a strong willingness to learn and a strong willingness to learn.
CAND_046,HIRE,"['Candidate Profile: outstanding communication, reliable quick learner, good teamwork, lacking task prioritization, strong critical thinking | Label: HIRE', 'Candidate Profile: lacking teamwork, outstanding task prioritization, good creativity, reliable willing to learn, bad adaptability | Label: NOT HIRE', 'Candidate Profile: bad problem solving, lacking detail oriented, strong critical thinking, excellent teamwork, lacking quick learner | Label: HIRE']",This person should be hired because he is a quick learner.
