candidate_id,communication,technical_skills,quick_learner,detail_oriented,task_prioritization,willing_to_learn,teamwork,leadership,problem_solving,adaptability,creativity,critical_thinking,time_management,decision_making,conflict_resolution,emotional_intelligence,coding_proficiency,system_design,data_analysis,presentation_skills,customer_focus,initiative,collaboration,resilience,strategic_thinking,domain_knowledge
CAND_001,5,3,10,1,3,4,4,6,8,4,7,2,4,9,4,9,3,8,6,7,4,10,8,7,8,9
CAND_002,5,2,4,1,10,10,1,4,6,10,4,9,6,5,1,3,7,9,6,2,6,5,5,3,10,4
CAND_003,2,10,4,1,3,3,3,8,1,10,9,9,9,10,4,8,5,10,10,6,9,2,9,4,1,2
CAND_004,9,10,8,10,8,8,5,9,7,7,9,8,6,2,7,4,9,4,8,1,9,4,2,8,9,2
CAND_005,1,2,6,10,8,8,6,6,7,6,7,8,9,1,10,9,7,10,5,7,1,6,7,3,6,6
CAND_006,4,4,2,1,10,1,2,8,9,1,1,4,4,5,7,4,10,6,4,10,1,9,5,9,4,4
CAND_007,5,9,6,2,5,10,4,3,10,7,4,6,10,5,8,2,6,7,7,10,2,1,5,2,9,8
CAND_008,8,5,10,5,10,3,10,2,6,9,2,8,2,3,1,6,7,3,10,8,5,10,4,3,4,7
CAND_009,6,5,3,10,10,1,1,8,7,7,4,3,2,7,4,2,4,4,7,6,1,7,5,2,3,5
CAND_010,8,6,3,8,3,4,9,10,10,7,1,1,4,1,7,8,10,8,6,4,4,1,8,7,2,3
CAND_011,6,1,3,6,8,10,10,7,3,7,6,7,7,10,8,7,6,2,3,4,6,5,10,8,2,1
CAND_012,8,4,9,5,10,7,6,9,10,7,8,6,6,7,7,2,7,6,4,10,4,6,3,5,8,1
CAND_013,10,2,3,3,1,10,4,10,9,5,2,1,8,7,2,8,4,6,10,8,6,5,10,3,7,2
CAND_014,10,2,2,10,4,5,5,9,3,1,5,5,1,6,5,8,5,1,8,2,10,3,6,8,7,7
CAND_015,8,3,10,10,2,8,1,10,1,10,10,10,5,2,10,2,8,9,7,5,3,7,7,7,6,2
CAND_016,7,8,5,3,3,4,2,5,10,2,9,1,4,9,7,5,10,5,7,7,1,10,10,2,8,4
CAND_017,9,2,3,5,2,1,2,7,2,10,2,2,9,10,10,1,9,10,1,5,5,9,7,4,2,10
CAND_018,2,7,5,4,5,2,7,9,8,3,9,6,6,3,7,10,1,9,1,4,5,2,1,5,9,1
CAND_019,5,3,10,7,10,3,6,10,7,4,7,4,2,5,9,6,9,7,2,9,6,9,6,5,7,6
CAND_020,7,2,6,10,10,4,7,8,10,9,5,5,3,10,5,9,9,10,4,4,6,7,1,6,8,6
CAND_021,2,5,5,4,6,6,4,5,3,2,3,10,3,10,10,5,8,8,10,10,5,10,4,9,7,9
CAND_022,5,6,10,2,2,9,7,6,6,1,8,4,7,5,7,2,1,10,3,9,2,2,5,8,1,7
CAND_023,2,10,1,7,2,6,1,8,10,7,10,4,9,4,7,6,2,7,2,7,9,2,9,7,4,3
CAND_024,1,6,6,6,8,7,1,5,9,9,5,9,1,9,9,1,1,8,5,8,5,9,2,3,5,6
CAND_025,6,10,10,6,7,1,3,7,1,2,6,9,9,7,1,5,10,6,2,9,3,7,6,5,6,5
CAND_026,10,1,1,8,8,2,5,3,9,5,3,10,1,9,10,3,9,6,7,5,2,8,4,1,6,4
CAND_027,6,5,9,2,6,10,1,6,4,7,6,6,4,3,3,1,2,8,4,5,8,7,8,7,1,2
CAND_028,4,8,4,8,7,8,3,3,4,7,4,6,9,2,1,3,9,6,2,10,2,3,4,8,8,1
CAND_029,6,2,4,9,6,8,1,8,8,2,5,5,5,9,5,10,6,1,8,9,9,2,10,10,2,5
CAND_030,5,6,10,2,8,6,7,3,3,10,1,2,3,10,10,6,9,3,6,1,3,10,8,3,2,6
CAND_031,4,1,6,9,1,10,4,6,10,1,2,3,6,7,6,3,6,3,10,10,3,10,9,4,10,6
CAND_032,5,4,5,10,10,4,10,4,10,6,9,4,10,7,2,3,1,2,9,7,1,3,7,3,10,6
CAND_033,6,6,7,5,2,3,7,1,5,1,2,7,4,5,3,5,1,8,9,5,8,6,1,10,5,7
CAND_034,4,8,3,2,5,10,3,6,4,10,1,9,5,2,8,1,4,3,3,1,5,2,1,7,4,1
CAND_035,5,7,1,1,8,5,10,1,9,5,9,1,8,4,8,4,10,5,1,2,2,2,6,8,5,9
CAND_036,10,3,8,8,7,3,5,7,2,4,2,5,3,9,4,9,7,5,5,10,2,8,9,3,6,6
CAND_037,8,5,2,2,3,9,6,6,7,9,2,6,10,10,4,8,1,2,6,10,8,1,6,9,8,2
CAND_038,9,5,7,6,5,8,8,8,10,3,6,5,2,1,4,2,5,2,5,1,4,7,5,1,6,6
CAND_039,3,1,5,3,3,1,10,3,6,6,7,8,10,5,4,9,5,7,9,1,9,2,10,1,10,8
CAND_040,9,6,10,7,6,6,3,6,8,8,1,7,5,8,6,4,1,5,7,2,9,9,1,3,5,8
CAND_041,6,2,1,10,8,6,3,3,3,2,4,3,3,3,8,9,4,4,4,6,10,4,7,10,5,7
CAND_042,10,10,8,2,2,6,7,9,4,9,6,4,8,9,4,7,9,5,3,1,2,4,1,2,4,5
CAND_043,3,8,4,5,7,3,2,2,7,4,8,1,1,6,4,3,3,3,1,2,9,2,5,1,8,10
CAND_044,10,10,2,6,6,6,4,1,10,10,9,6,2,7,1,9,6,1,6,6,2,4,6,3,5,4
CAND_045,9,3,5,1,1,5,7,8,3,1,6,3,4,2,8,3,1,1,2,4,2,2,5,8,1,2
CAND_046,8,10,1,1,2,2,10,9,9,7,6,3,1,3,8,5,8,3,1,3,1,1,3,4,5,10
CAND_047,9,3,6,2,5,2,5,5,3,7,2,2,2,1,9,5,7,3,5,4,8,6,9,1,4,6
CAND_048,8,5,5,6,2,6,2,6,3,6,9,10,6,2,6,7,6,10,1,10,1,7,8,9,10,5
CAND_049,3,7,10,2,7,10,3,3,2,1,10,5,10,3,1,2,5,3,5,4,4,6,4,3,5,3
CAND_050,3,4,10,8,8,5,9,6,9,10,1,6,7,10,4,7,2,5,7,5,5,2,10,8,10,2
CAND_051,1,9,4,10,4,5,8,1,9,8,3,10,6,6,10,10,2,7,1,6,2,9,1,1,6,3
CAND_052,5,6,9,2,2,2,9,5,8,7,10,1,6,10,9,5,3,2,3,2,4,6,10,1,9,7
CAND_053,8,4,8,8,10,10,1,9,3,4,6,10,6,10,6,5,9,10,6,5,4,5,2,3,8,6
CAND_054,10,1,5,10,1,7,5,9,2,9,2,8,5,2,4,10,3,1,4,5,5,3,4,8,3,1
CAND_055,1,4,6,10,5,10,3,3,5,6,2,6,10,2,3,1,1,3,9,3,2,4,5,3,7,6
CAND_056,4,8,6,6,10,10,5,4,10,5,6,9,8,8,4,3,1,8,10,7,8,10,10,10,3,2
CAND_057,10,4,5,6,2,5,3,6,10,4,10,1,10,3,10,9,5,7,9,10,4,1,2,6,5,1
CAND_058,6,10,3,8,3,7,2,1,4,5,4,9,7,6,1,6,8,3,2,10,2,9,9,10,9,5
CAND_059,2,10,1,5,4,5,10,8,1,1,9,6,7,9,1,3,6,3,4,2,5,5,1,3,8,3
CAND_060,5,6,2,9,10,9,10,8,9,2,4,3,2,7,5,7,8,9,8,5,3,1,8,7,4,2
CAND_061,2,10,4,3,2,8,3,10,8,3,6,5,7,10,4,8,9,10,6,2,7,7,10,7,3,10
CAND_062,1,9,2,3,7,9,3,7,4,6,1,3,4,6,2,7,8,10,7,10,9,9,2,1,5,8
CAND_063,10,9,8,5,8,4,1,8,1,10,8,7,4,4,8,5,10,7,3,3,2,1,6,8,3,7
CAND_064,4,9,5,2,8,9,10,1,7,9,7,9,4,3,2,1,5,1,7,8,6,3,8,4,10,5
CAND_065,5,9,10,3,5,8,6,4,6,6,6,3,7,8,9,7,8,5,9,10,8,4,4,8,4,10
CAND_066,10,10,7,7,3,9,3,1,7,2,7,5,6,5,6,8,4,7,1,6,5,8,1,3,7,6
CAND_067,7,9,9,9,5,4,4,5,9,1,4,1,9,10,5,7,9,2,4,10,9,6,9,4,1,1
CAND_068,4,2,2,10,5,1,3,10,8,2,2,9,6,10,5,4,6,6,1,10,8,7,3,10,7,2
CAND_069,10,7,10,10,10,4,10,8,3,8,6,10,3,7,5,8,5,1,5,5,1,7,1,7,8,4
CAND_070,1,1,2,7,8,9,6,8,4,1,5,10,1,4,9,4,10,3,4,4,7,2,6,9,1,7
CAND_071,5,7,6,7,1,1,8,4,5,8,8,3,8,3,4,8,8,4,2,3,10,4,4,8,9,8
CAND_072,3,9,6,10,6,5,6,7,5,1,8,5,6,10,10,3,2,4,9,9,4,7,1,5,9,8
CAND_073,3,3,4,5,8,4,2,10,10,5,9,2,9,2,7,2,8,10,3,10,10,2,10,10,8,6
CAND_074,10,4,10,3,9,2,2,7,6,9,6,9,5,4,6,6,7,9,2,3,7,2,1,8,2,8
CAND_075,5,7,2,2,2,10,4,8,8,8,2,1,2,7,5,3,6,10,1,3,9,4,7,4,7,1
CAND_076,1,9,4,6,5,4,8,6,6,10,1,8,2,8,8,4,8,9,5,1,1,6,10,3,2,3
CAND_077,1,5,6,2,4,2,3,3,9,4,7,8,8,9,6,4,2,8,8,8,10,1,5,1,9,1
CAND_078,8,1,6,8,7,7,4,8,3,1,3,2,3,6,1,9,7,1,1,7,5,10,10,6,10,1
CAND_079,5,3,2,4,8,6,3,4,7,9,7,5,7,10,7,7,1,6,6,4,6,6,10,9,5,6
CAND_080,1,1,7,1,8,1,9,6,2,6,3,1,8,6,10,2,5,2,6,6,4,9,4,9,3,10
CAND_081,2,2,7,1,10,6,5,2,6,8,8,9,8,10,1,7,8,9,9,8,10,10,2,5,5,3
CAND_082,10,4,2,6,3,9,2,9,2,2,10,4,3,6,6,3,5,6,7,2,3,4,8,2,7,6
CAND_083,8,8,7,8,1,3,9,10,1,9,10,4,9,2,2,2,9,2,8,1,10,2,10,1,3,10
CAND_084,6,8,2,4,4,2,3,10,6,3,5,4,3,8,7,8,7,6,3,3,5,2,4,1,5,2
CAND_085,1,9,1,5,10,4,2,1,6,5,3,2,9,7,6,5,5,8,6,8,1,9,1,8,1,4
CAND_086,3,7,3,3,6,3,9,3,10,1,5,5,4,9,6,1,4,4,4,9,10,2,1,1,3,7
CAND_087,5,4,2,8,6,1,1,1,2,8,4,7,1,5,7,3,8,3,2,3,7,5,9,4,2,10
CAND_088,9,7,10,6,7,6,1,4,2,5,3,5,3,3,7,9,3,1,8,7,4,3,3,10,1,5
CAND_089,3,1,3,2,7,4,9,3,10,5,5,7,9,1,8,2,7,6,10,10,2,3,10,6,3,10
CAND_090,4,1,9,2,7,7,1,9,10,3,5,1,6,2,2,2,4,1,5,5,6,2,4,8,2,9
CAND_091,7,6,5,8,5,7,4,1,6,5,3,1,1,5,8,8,8,8,8,1,3,5,1,6,7,5
CAND_092,3,2,6,1,2,6,3,3,9,1,4,4,8,8,10,9,7,9,10,4,3,7,9,5,2,2
CAND_093,4,10,4,1,10,3,10,7,4,7,6,5,4,6,9,10,4,4,6,2,8,1,4,8,7,4
CAND_094,1,1,10,10,5,1,9,8,4,10,7,4,2,3,5,4,5,7,6,9,10,8,7,2,1,5
CAND_095,2,7,1,10,3,2,7,7,10,4,9,5,3,6,1,5,10,1,7,7,5,10,7,5,9,10
CAND_096,5,1,1,9,2,6,1,10,2,10,1,10,3,6,1,8,2,2,4,10,6,10,1,1,6,8
CAND_097,9,4,10,10,7,2,3,10,2,1,6,5,4,5,3,10,6,4,3,10,1,10,5,8,8,2
CAND_098,10,9,7,6,3,6,5,7,2,4,8,2,4,1,2,1,7,8,5,2,6,3,2,5,3,4
CAND_099,3,2,8,4,7,8,10,2,10,4,10,9,6,7,7,7,5,3,5,9,1,10,7,2,2,6
CAND_100,4,8,9,3,1,5,6,5,5,2,1,10,2,5,5,3,2,2,5,3,4,1,1,5,8,6
