candidate_id,profile,label
TRAIN_001,"Candidate Profile: poor detail oriented, weak teamwork, outstanding technical skills, poor adaptability, weak willing to learn",NOT HIRE
TRAIN_002,"Candidate Profile: weak quick learner, weak leadership, outstanding technical skills, good detail oriented, strong willing to learn",HIRE
TRAIN_003,"Candidate Profile: reliable communication, good detail oriented, lacking willing to learn, reliable problem solving, strong adaptability",HIRE
TRAIN_004,"Candidate Profile: lacking willing to learn, excellent problem solving, strong critical thinking, good quick learner, inconsistent task prioritization",HIRE
TRAIN_005,"Candidate Profile: inconsistent leadership, inconsistent quick learner, strong critical thinking, strong adaptability, excellent task prioritization",HIRE
TRAIN_006,"Candidate Profile: inconsistent communication, excellent quick learner, outstanding adaptability, poor technical skills, good problem solving",HIRE
TRAIN_007,"Candidate Profile: lacking quick learner, strong critical thinking, strong problem solving, strong willing to learn, weak creativity",HIRE
TRAIN_008,"Candidate Profile: weak leadership, good task prioritization, strong problem solving, poor communication, lacking quick learner",HIRE
TRAIN_009,"Candidate Profile: lacking adaptability, inconsistent technical skills, inconsistent quick learner, strong detail oriented, reliable willing to learn",HIRE
TRAIN_010,"Candidate Profile: bad communication, excellent detail oriented, excellent critical thinking, lacking task prioritization, poor adaptability",HIRE
TRAIN_011,"Candidate Profile: poor adaptability, outstanding willing to learn, good technical skills, good quick learner, strong teamwork",HIRE
TRAIN_012,"Candidate Profile: outstanding quick learner, weak willing to learn, poor task prioritization, weak problem solving, outstanding creativity",NOT HIRE
TRAIN_013,"Candidate Profile: outstanding leadership, poor critical thinking, excellent quick learner, outstanding adaptability, reliable technical skills",HIRE
TRAIN_014,"Candidate Profile: weak technical skills, reliable creativity, inconsistent problem solving, good leadership, good task prioritization",NOT HIRE
TRAIN_015,"Candidate Profile: inconsistent quick learner, reliable willing to learn, good technical skills, outstanding detail oriented, excellent communication",HIRE
TRAIN_016,"Candidate Profile: bad teamwork, bad leadership, poor problem solving, strong technical skills, weak communication",HIRE
TRAIN_017,"Candidate Profile: good creativity, outstanding teamwork, outstanding problem solving, bad leadership, strong adaptability",HIRE
TRAIN_018,"Candidate Profile: good detail oriented, good critical thinking, good problem solving, outstanding task prioritization, bad teamwork",NOT HIRE
TRAIN_019,"Candidate Profile: outstanding leadership, inconsistent communication, lacking creativity, bad critical thinking, bad technical skills",NOT HIRE
